class,pred,gt
cattle,1,4
players,76,467
group,33,326
track,57,76
cowboy hat,0,3
eyeglasses,1,4
handle,506,154
shakers,0,2
remote,18,14
snowsuit,0,5
bushes,125,32
leg,1137,106
eagle,0,5
fire truck/firetruck,5,9
game controller,0,1
backsplash,5,0
trains,0,1
shore,78,31
signs,6,5
bell,12,5
sack,6,6
drawing,32,46
toy,217,266
legs,216,59
pavement,49,44
wheels,88,19
driver,7,8
numbers,17,1
pen,50,36
cabbage,4,0
trucks,3,1
saddle,43,25
goose,2,12
label,63,26
boulder,10,4
pajamas,44,60
wrist,104,10
shelf,326,132
cross,2,2
lot,4,8
air,55,48
officer,22,24
cheese,5,8
lady,5,7
kickstand,2,0
bags,52,71
stand,82,79
netting,2,11
lettuce,22,16
animals,14,63
boot,265,40
railing,538,566
steps,173,101
trashcan,10,0
tusk,3,1
walkway,88,63
cockpit,2,5
animal,143,275
boardwalk,0,6
bookcase,12,13
trash bag,0,2
ski poles,2,3
parking lot,10,20
fan,35,16
base,145,79
soap dispenser,8,0
banner,204,179
life vest,13,5
word,35,12
cab,17,3
liquid,7,2
exhaust pipe,6,0
sneaker,0,1
light fixture,1,0
curb,234,36
scene,29,65
buttons,12,2
sticker,178,25
pizzas,2,2
paper,587,460
feet,106,22
stairs,316,310
triangle,8,0
plants,155,99
rope,406,218
beans,16,1
letters,321,154
soda,4,2
menu,32,28
finger,103,21
candles,8,15
picnic table,2,8
wine bottle,3,2
pencil,5,0
tree trunk,29,20
nail,6,5
mantle,3,0
line,667,53
audience,3,1
arm,1112,288
dock,88,98
doorway,64,58
worker,1,8
crane,26,20
grate,50,6
plates,44,27
background,257,134
peel,6,0
string,33,37
armrest,18,0
shower head,1,0
leash,59,67
stones,3,0
handle bars,4,1
front,17,4
scarf,643,295
band,135,17
tennis,1,4
pile,17,23
foot,471,52
houses,13,9
windows,184,44
restaurant,60,156
booth,6,23
fingers,57,19
bleachers,33,45
rail,92,133
pastry,2,0
canoe,17,13
sun,83,81
salt shaker,3,0
number,508,154
fish,88,96
knee pad,32,5
fur,32,13
rod,9,0
branches,66,14
birds,31,55
printer,17,5
sunset,4,3
median,2,0
shutter,21,9
slice,3,0
heater,2,0
bathing suit,25,13
rack,79,35
book,697,694
blade,15,0
manhole cover,16,0
overhang,3,0
door handle,6,0
couple,93,355
picture frame,8,0
chicken,21,18
planter,52,8
seats,30,20
bowls,6,2
top,307,250
landing gear,1,0
coffee maker,10,7
computers,0,6
light switch,37,0
jar,63,40
overalls,8,8
garage,4,8
writing,466,141
doors,17,9
stadium,69,90
placemat,4,6
sled,13,19
mast,1,0
pond,12,17
steering wheel,7,7
baseball glove,2,7
watermark,25,0
pie,6,4
mushroom,2,0
handles,11,2
fender,4,0
strawberry,5,0
mask,48,53
children,264,970
art,2,4
rim,15,6
branch,96,39
display,41,97
photo,28,51
toys,9,21
handlebars,9,6
trailer,23,42
sandal,558,34
skull,7,1
pipe,119,33
office,1,10
chest,8,8
lamps,0,4
horizon,0,1
calendar,11,1
foam,4,0
stone,17,11
bars,12,6
button,216,14
poles,14,19
heart,29,7
hose,92,64
potatoes,27,11
rain,14,21
magazine,70,44
chain,95,35
design,186,65
pictures,14,9
pillar,163,37
drink,13,17
barrier,18,13
boxes,89,38
chocolate,1,0
chef,4,20
icing,0,7
wipers,5,0
circle,144,100
bin,73,25
tiles,35,3
steam,16,11
lettering,18,4
spire,3,0
sheet,38,35
slab,12,7
spatula,4,0
tail light/taillight,9,1
wire,29,16
pier,71,76
trunks,4,5
bolt,31,0
kayak,19,44
nuts,2,0
holder,21,3
barrel,114,93
fans,4,9
beanie,11,19
stem,2,5
lines,159,46
sweatshirt,80,93
handbag,21,17
mulch,2,8
socks,173,61
shelves,14,7
ski lift,12,12
cord,155,34
vegetable,3,6
apron,138,130
blind,4,0
bracelets,19,3
stickers,2,3
traffic,1,8
swim trunks,11,14
hillside,2,0
sandals,318,60
concrete,55,11
lips,34,20
words,7,6
leaves,401,135
cooler,35,30
sheets,3,10
figurine,10,29
stack,16,14
motor,10,5
spectator,11,0
flip flops,30,8
quilt,3,0
calf,7,0
grapes,17,9
skin,0,1
bow,27,26
controls,1,1
ribbon,49,16
cover,62,20
tarp,172,83
notebook,25,19
mustache,97,20
closet,5,0
statues,1,7
bank,2,1
butter,1,2
knee,24,4
wood,244,122
laptops,0,19
cuff,49,3
hubcap,4,0
wings,12,9
structure,68,83
balls,6,32
tunnel,21,12
globe,10,8
utensil,2,0
dumpster,15,16
cd,1,0
wrapper,4,9
folder,4,0
pocket,34,2
posts,13,5
power line,2,0
wake,15,0
roses,5,2
reflection,314,47
air conditioner,12,0
barricade,2,2
garbage can,14,5
buckle,23,5
footprints,17,0
lights,146,77
bracket,2,4
plug,1,0
ring,81,25
twigs,5,0
playground,26,93
stump,24,21
brick wall,2,3
screw,1,0
leaf,190,7
ledge,53,24
clothes,95,34
plumbing,1,0
blouse,5,2
patch,84,7
scaffolding,34,29
rose,12,8
skillet,6,13
cable,4,0
gloves,78,36
bark,7,0
decoration,15,12
tables,0,13
palm,1,0
wii,2,0
shrub,1,0
hoof,27,0
celery,0,1
beads,42,21
plaque,12,0
cloth,181,110
spot,37,6
plastic,34,27
case,68,53
hot dogs/hotdogs,14,20
stripe,193,33
scale,6,0
block,124,35
body,3,14
wallpaper,2,0
sculpture,49,63
surface,3,3
lift,10,1
bottom,17,2
cleats,22,1
roll,0,2
clothing,31,5
doll,9,24
strings,24,20
paint,30,13
candle holder,4,1
guard rail,2,4
cyclist,4,22
ripples,2,0
waist,3,0
onion,4,4
side mirror,3,0
brush,44,61
handlebar,35,35
artwork,5,0
reflector,3,0
figure,1,8
tile,31,0
bricks,38,13
stick,223,274
patio,7,22
weeds,12,0
back,68,28
sausage,3,3
paws,7,10
harness,31,9
monkey,16,21
stripes,77,30
ponytail,95,29
strap,235,31
carton,0,1
chin,17,0
name,25,3
earring,270,21
area,0,1
tshirt/t-shirt/t shirt,29,25
lanyard,44,25
brick,52,3
hallway,6,2
cucumber,7,0
fern,2,0
windowsill,1,0
pipes,16,0
package,6,9
wheelchair,19,33
chips,3,7
tattoo,135,95
stairway,0,6
machine,194,237
radio,12,0
overpass,1,0
mat,65,35
tube,13,4
dial,2,2
splash,5,0
lantern,4,5
tongs,7,4
trail,3,2
bandana,66,54
antelope,1,10
tents,1,6
tires,23,6
mannequin,7,28
mushrooms,0,3
strawberries,5,6
piece,1,1
oar,37,24
bike rack,2,0
arms,28,53
fin,3,0
shadows,29,7
hood,348,79
windshield wiper,1,0
letter,66,6
dot,16,0
bus stop,38,54
railings,3,0
mud,4,0
claws,1,0
crown,37,19
name tag,17,8
entrance,6,3
staircase,13,19
peak,1,0
asphalt,1,1
columns,7,0
sleeve,420,46
pack,2,1
cheek,1,0
baskets,3,5
land,10,6
blocks,3,14
panel,2,5
balcony,78,26
yellow,2,3
crumbs,2,0
emblem,5,0
object,127,88
bar,53,51
cardboard,4,0
light post,1,0
streetlight/street light,38,4
alley,6,4
cords,2,5
image,3,9
jug,18,10
antenna,8,0
puppy,0,3
berries,0,2
diamond,2,0
pans,2,2
fountain,49,76
bride,133,208
spray,3,1
peppers,8,0
cement,3,5
flags,17,34
trough,3,10
objects,1,0
pots,5,0
border,1,0
baseboard,2,0
beer bottle,0,3
items,3,0
donkey,0,8
containers,13,6
device,12,15
parachute,1,16
hut,17,23
butterfly,8,13
twig,2,0
ivy,5,1
furniture,7,2
lion,4,1
vehicles,0,17
shoreline,4,0
stream,1,4
lock,27,0
microphone,389,358
coaster,0,1
star,70,19
text,4,1
feather,3,8
spots,2,0
buoy,17,3
