class,freq,invalid
work,80,0
site,3,0
something,676,0
right,46,0
display,82,0
motorcycles,145,0
inside,13,0
mall,11,0
smiling,41,0
artist,128,0
kneeling,0,0
An,60,0
athlete,42,0
performs,1,0
high,15,0
jump,6,0
leaps,1,0
across,0,0
pillow,59,0
little,81,0
poses,7,0
garden,107,0
working,4,0
outside,184,0
child,3853,0
attempts,0,0
enter,0,0
house,344,0
doggy,1,0
door,341,0
jogger,8,0
going,1,0
sun,115,0
low,1,0
horizon,10,0
dogs,2193,0
trail,161,0
two,633,0
them,1,0
corn,45,0
2,17,0
tank,50,0
tops,61,0
sunglasses,1175,0
beautiful,24,0
older,37,0
looks,4,0
sifting,0,0
gravel,55,0
screen,151,0
light,223,0
shirted,0,0
gets,0,0
ready,0,0
receive,0,0
pass,5,0
midst,0,0
gray,170,0
opponents,14,0
cowboy,162,0
holds,0,0
beer,237,0
attempting,0,0
hammer,75,0
nail,24,0
speaking,0,0
microphone,647,0
couple,954,0
sharing,0,0
kiss,20,0
cold,9,0
spunky,0,0
hairdo,6,0
painting,101,0
building,2226,0
Asian,17,0
squats,2,0
paved,22,0
walkway,108,0
sorts,0,0
pile,21,0
vegetables,202,0
Distressed,0,0
slot,0,0
machine,179,0
police,223,0
officer,76,0
motorbike,109,0
safety,19,0
jacket,3079,0
jeans,1775,0
converse,0,0
dancing,2,0
grasping,0,0
pink,719,0
pants,1779,0
plastic,122,0
bottles,89,0
marching,20,0
band,400,0
clad,1,0
dances,0,0
public,55,0
oriental,1,0
leaning,0,0
bike,2055,0
front,97,0
brightly,10,0
lit,31,0
stand,198,0
that,7,0
guy,1228,0
tube,16,0
children,3154,0
watch,37,0
finishing,0,0
brush,53,0
brunette,44,0
brushes,4,0
teeth,89,0
alone,1,0
exercising,0,0
exercise,4,0
instructor,5,0
office,29,0
umbrellas,179,0
train,368,0
platform,41,0
Vehicles,3,0
pedestrians,85,0
nearby,2,0
skyscrapers,14,0
Young,14,0
getting,0,0
toward,0,0
pin,9,0
tan,24,0
dark,118,0
haired,45,0
for,0,0
spike,1,0
during,0,0
volleyball,97,0
game,93,0
snowshoes,50,0
snow,1738,0
old,101,0
spotted,0,0
socks,108,0
sits,2,0
accordion,22,0
another,172,0
waiting,1,0
5,5,0
military,32,0
defense,2,0
Someone,293,0
skiing,11,0
snowsuit,6,0
camera,410,0
open,42,0
window,825,0
ice,214,0
hockey,126,0
goalie,57,0
guards,9,0
net,62,0
few,59,0
others,582,0
him,1,0
constructions,3,0
workers,584,0
computer,303,0
other,797,0
three,114,0
individuals,153,0
talking,0,0
Woman,899,0
rain,26,0
umbrella,624,0
stuffed,22,0
gladiator,4,0
costume,424,0
phone,168,0
organizers,0,0
fundraiser,0,0
were,0,0
chatting,0,0
registration,0,0
sit,2,0
cement,87,0
stairs,371,0
store,302,0
males,155,0
jazz,1,0
concert,2,0
teal,19,0
coat,1182,0
line,131,0
chairs,460,0
folded,5,0
indescript,0,0
overweight,0,0
bench,1268,0
gentlemen,72,0
well,18,0
straw,37,0
ride,103,0
carriage,54,0
pulled,0,0
four,45,0
horses,359,0
put,1,0
tomato,7,0
bag,847,0
enjoy,0,0
view,5,0
mountains,280,0
hitting,0,0
metro,2,0
city,333,0
night,25,0
wrestling,1,0
Numerous,0,0
streets,77,0
statue,223,0
Children,561,0
candy,35,0
rainy,0,0
road,986,0
picnickers,0,0
under,0,0
pies,7,0
oven,49,0
cubicle,5,0
Ginobili,0,0
jersey,372,0
chair,903,0
celebrating,0,0
special,1,0
way,23,0
together,1,0
newborn,22,0
swaddled,0,0
striped,120,0
blanket,252,0
someone,313,0
touches,0,0
it,10,0
both,16,0
staring,0,0
river,468,0
watching,0,0
elderly,66,0
karate,14,0
attire,243,0
competition,3,0
wide,1,0
she,0,0
placing,0,0
stack,3,0
crackers,3,0
shopping,17,0
trying,0,0
hit,0,0
pinata,1,0
climber,44,0
scales,1,0
cliff,139,0
far,1,0
pastures,0,0
Elderly,0,0
cane,38,0
bends,0,0
finger,104,0
boys,1674,0
either,5,0
or,80,0
spring,0,0
summer,4,0
whom,18,0
preparing,0,0
throw,0,0
pose,16,0
mirror,163,0
fingers,99,0
Three,28,0
podium,8,0
awaiting,0,0
award,0,0
fence,773,0
run,1,0
fetal,0,0
position,20,0
rocks,489,0
crack,2,0
lake,542,0
fishing,103,0
fell,0,0
onto,0,0
attic,2,0
lip,11,0
bright,65,0
female,1038,0
swimmer,53,0
swimming,161,0
cap,826,0
does,0,0
butterfly,30,0
stroke,0,0
using,0,0
paint,71,0
body,77,0
stick,522,0
pond,151,0
walk,18,0
sunshine,3,0
chasing,1,0
park,382,0
benches,90,0
sleeps,0,0
walker,7,0
washroom,0,0
dryer,20,0
Engineers,2,0
busy,16,0
fixing,0,0
surgeons,7,0
scrubs,19,0
surgical,2,0
procedure,0,0
coffee,112,0
tea,30,0
serious,3,0
discussion,0,0
waterspout,0,0
area,95,0
drinking,9,0
who,4,0
lap,7,0
doorstep,0,0
reads,0,0
book,412,0
six,6,0
have,1,0
jumped,0,0
nowhere,1,0
catching,0,0
walks,0,0
forest,144,0
flowers,453,0
each,83,0
laying,0,0
side,94,0
Older,1,0
look,64,0
balcony,90,0
bikes,357,0
helmets,237,0
track,151,0
talks,0,0
restaurant,116,0
rubbing,0,0
type,4,0
object,70,0
bicyclist,118,0
trick,1,0
tall,7,0
tree,1287,0
racing,36,0
inspects,0,0
tattooed,3,0
arm,390,0
guys,551,0
breakdance,0,0
stage,316,0
winter,86,0
gear,272,0
crosscountry,0,0
ski,97,0
several,77,0
lottery,3,0
tickets,6,0
meal,132,0
mountaintop,17,0
Little,3,0
ignoring,0,0
current,0,0
adult,210,0
procession,0,0
hair,2364,0
lies,1,0
overlooking,0,0
which,1,0
lone,12,0
sailboat,37,0
visible,2,0
stands,19,0
brick,226,0
wall,1734,0
block,20,0
swim,113,0
trunks,29,0
Roosevelt,0,0
soccer,284,0
butt,3,0
heads,77,0
opponent,13,0
match,6,0
hold,8,0
shiny,2,0
slide,68,0
One,24,0
thumbnail,0,0
's,67,0
left,17,0
Gray,1,0
perusing,0,0
outdoor,40,0
market,42,0
Eleven,0,0
gather,0,0
conversing,0,0
further,0,0
waterfront,11,0
family,335,0
mowing,0,0
lawn,224,0
son,148,0
doing,1,0
same,41,0
only,19,0
mower,7,0
turned,0,0
backwards,13,0
slightly,0,0
sideways,1,0
cigarette,8,0
bicycler,4,0
ramp,243,0
hooker,1,0
corner,75,0
posing,0,0
though,0,0
flung,0,0
back,216,0
shock,0,0
wave,447,0
punching,0,0
ground,13,0
worker,331,0
cutting,9,0
limbs,1,0
tool,13,0
sign,895,0
part,1,0
says,0,0
word,19,0
apice,51,0
policy,1,0
colored,37,0
pours,0,0
pot,105,0
glass,315,0
pole,358,0
vault,0,0
get,0,0
bar,115,0
fluffy,4,0
living,4,0
room,271,0
artwork,49,0
teen,35,0
marathon,1,0
runners,69,0
sleeping,14,0
dirty,7,0
chef,100,0
meat,160,0
they,1,0
blending,0,0
drinks,208,0
party,5,0
station,26,0
gathering,9,0
folding,2,0
skateboarding,8,0
skate,12,0
roaming,0,0
motorcycle,679,0
ridden,0,0
around,2,0
bend,5,0
racetrack,18,0
mustache,100,0
abandon,0,0
55th,0,0
Monterrey,0,0
Jazz,0,0
Festival,0,0
music,36,0
professional,13,0
hug,2,0
couch,413,0
smiles,22,0
snowboarder,288,0
railing,247,0
cafe,34,0
sweater,723,0
traffic,61,0
distance,0,0
pointing,3,0
silver,24,0
sedan,5,0
skinned,0,0
sports,15,0
face,987,0
falls,0,0
silhouette,17,0
beard,390,0
gives,0,0
thumbs,7,0
doorway,166,0
loaf,0,0
bread,87,0
throws,0,0
Frisbee,295,0
frisbee,66,0
golf,31,0
goal,42,0
Shiner,0,0
Bock,0,0
riverbank,9,0
tied,0,0
use,2,0
mixer,7,0
like,42,0
he,4,0
school,33,0
project,14,0
dad,38,0
watches,1,0
truck,612,0
Delicious,0,0
had,0,0
been,0,0
prepared,0,0
There,0,0
chun,0,0
kuk,0,0
do,1,0
tournament,1,0
spectators,187,0
dinner,43,0
occurring,0,0
numerous,7,0
crowns,9,0
eating,4,0
candle,24,0
dining,3,0
saw,55,0
wood,319,0
leading,0,0
seashore,13,0
growling,0,0
counter,171,0
lab,5,0
gold,54,0
jewelry,56,0
leaflets,1,0
towards,1,0
White,11,0
sheep,99,0
center,1,0
#,8,0
6,1,0
tries,0,0
best,1,0
help,5,0
team,280,0
victory,0,0
members,64,0
opposing,6,0
football,284,0
tackling,0,0
runs,2,0
outdoors,53,0
horse,1004,0
shirts,952,0
ship,72,0
captain,3,0
wheel,136,0
Lille,0,0
just,3,0
sight,2,0
stadium,37,0
style,13,0
seating,7,0
appear,0,0
disinterested,0,0
venue,0,0
underwater,5,0
oxfords,0,0
layered,0,0
industrial,2,0
writing,31,0
post,13,0
note,5,0
board,117,0
full,6,0
scroll,1,0
culture,0,0
reach,0,0
shore,164,0
begins,0,0
wander,0,0
loose,1,0
fitting,0,0
scarf,429,0
bald,10,0
make,0,0
shot,16,0
coats,167,0
Asians,20,0
leafy,5,0
take,0,0
break,1,0
sunbathes,0,0
opposite,1,0
sides,5,0
billboard,25,0
shown,0,0
moving,5,0
asian,38,0
shop,142,0
ornate,7,0
facade,1,0
prepares,0,0
rolling,8,0
tired,1,0
businessman,34,0
takes,0,0
quick,0,0
nap,7,0
Amen,0,0
smile,102,0
creekside,0,0
Firemen,16,0
jaws,0,0
car,1292,0
jean,25,0
Tommy,0,0
Hilfiger,0,0
logo,47,0
Soldiers,25,0
march,5,0
parade,80,0
checking,0,0
about,4,0
emerge,0,0
Race,1,0
smoking,3,0
very,66,0
badly,0,0
pizza,42,0
helps,0,0
customer,14,0
deal,0,0
helmet,999,0
astride,0,0
sweatshirt,442,0
abandoned,3,0
',13,0
Cafe,1,0
Express,0,0
now,0,0
graffiti,369,0
graphic,1,0
painted,22,0
tiger,24,0
stripes,86,0
also,0,0
adorned,1,0
matching,3,0
mane,8,0
applies,1,0
eager,1,0
youth,37,0
telescope,38,0
clear,13,0
American,7,0
stop,41,0
softball,25,0
pitches,0,0
diaper,13,0
held,0,0
mother,288,0
personal,3,0
moment,1,0
yard,124,0
parking,73,0
garage,43,0
lot,96,0
story,4,0
hangs,0,0
upside,0,0
clearly,0,0
seen,0,0
tennis,133,0
stone,231,0
hotel,7,0
bellboy,0,0
pushing,1,0
luggage,131,0
cart,480,0
filled,2,0
various,63,0
pieces,19,0
fancy,5,0
embark,0,0
dangerous,2,0
stunt,1,0
involving,0,0
bungee,5,0
cords,9,0
Five,3,0
race,32,0
form,0,0
human,22,0
pyramid,1,0
chain,29,0
neck,70,0
dreadlocks,72,0
couples,45,0
seated,11,0
picnic,20,0
setting,1,0
synchronized,0,0
naked,16,0
wrapped,7,0
oceanside,0,0
record,0,0
Giants,0,0
swings,15,0
bat,137,0
incoming,0,0
pitch,20,0
photographs,20,0
nature,10,0
Person,271,0
toting,0,0
items,147,0
pushes,0,0
At,0,0
bottom,22,0
set,60,0
there,25,0
tent,196,0
driving,4,0
turn,13,0
biker,187,0
plain,0,0
Several,4,0
roller,24,0
coaster,0,0
reacting,0,0
loop,0,0
ways,0,0
secluded,1,0
swimwear,16,0
strolls,0,0
calm,0,0
hits,2,0
polka,23,0
dot,3,0
singing,0,0
lighting,6,0
sad,3,0
Group,23,0
practices,0,0
cultural,0,0
branch,32,0
leaves,292,0
maroon,7,0
gowns,19,0
lobby,7,0
pointed,0,0
carries,0,0
baskets,75,0
counterbalanced,0,0
shoulder,70,0
letters,20,0
seat,83,0
belt,91,0
necklace,80,0
mouths,51,0
leather,33,0
skirt,495,0
bunch,30,0
Mickey,2,0
Mouse,0,0
Minnie,2,0
Buzz,0,0
Lightyear,0,0
balloons,178,0
washing,6,0
players,681,0
flowered,7,0
reefs,0,0
Flag,5,0
arena,14,0
pummel,0,0
straddling,0,0
legs,171,0
eagle,11,0
flies,0,0
policeman,85,0
gestures,7,0
circle,9,0
theater,0,0
students,181,0
sequence,0,0
littered,1,0
alley,68,0
lower,0,0
half,30,0
diving,26,0
Multiple,1,0
pavement,84,0
sky,269,0
clouds,65,0
whistle,2,0
rollerskaters,0,0
sandals,207,0
downed,1,0
blocking,0,0
path,202,0
craft,9,0
Welders,3,0
drum,18,0
stops,0,0
bride,238,0
plaid,75,0
reading,5,0
magazine,30,0
drink,251,0
talk,1,0
outlines,0,0
shape,8,0
star,24,0
cyclist,163,0
downhill,5,0
steep,19,0
slope,31,0
tags,5,0
Toyota,2,0
inflatables,0,0
shoe,79,0
catch,1,0
armor,11,0
fighting,1,0
paintball,2,0
guns,48,0
cellphone,303,0
construction,477,0
rooftop,25,0
past,11,0
canned,3,0
beverage,46,0
structure,124,0
reflective,8,0
vests,292,0
boots,396,0
subway,48,0
produce,76,0
class,31,0
teenager,96,0
purple,293,0
bandanna,69,0
screams,0,0
entertaining,0,0
hula,11,0
hoop,40,0
bin,4,0
watermelons,26,0
Some,36,0
picture,254,0
planks,2,0
decoration,5,0
start,1,0
teenage,14,0
grocery,16,0
carts,50,0
collaborate,0,0
repairing,0,0
pajama,4,0
About,0,0
eight,3,0
dresses,303,0
bow,27,0
helmeted,0,0
bikers,71,0
examining,0,0
recreational,0,0
making,1,0
bird,270,0
carrot,4,0
pulling,0,0
papers,111,0
giving,0,0
speech,0,0
welder,6,0
duty,0,0
jumpsuit,81,0
jogging,1,0
rag,4,0
Street,35,0
robes,65,0
processor,0,0
eggs,45,0
flour,21,0
oranges,38,0
butter,13,0
dimly,0,0
fan,18,0
operated,0,0
vehicle,242,0
parachute,25,0
landing,4,0
fenced,56,0
landscaping,1,0
show,6,0
performers,36,0
ancient,3,0
pavilion,0,0
audience,210,0
forming,0,0
semi,0,0
performance,3,0
leg,118,0
flower,166,0
petals,2,0
third,9,0
pilot,26,0
copilot,1,0
flying,16,0
plane,76,0
airplane,72,0
fall,1,0
lined,0,0
spear,2,0
entertained,0,0
mountain,554,0
muddy,39,0
mud,155,0
splashing,0,0
writes,0,0
tri,0,0
clears,0,0
leans,0,0
against,0,0
pay,1,0
paper,308,0
On,0,0
drums,135,0
beside,0,0
Small,0,0
animals,94,0
beige,8,0
suit,965,0
whilst,0,0
knees,40,0
paintings,21,0
floral,13,0
covering,0,0
thread,6,0
loom,0,0
skateboarder,267,0
Girls,103,0
collide,0,0
engaged,0,0
competitive,1,0
sport,3,0
sale,16,0
afghan,1,0
college,5,0
teams,188,0
rugby,17,0
defender,15,0
moves,4,0
intervene,0,0
females,147,0
parka,27,0
crosses,5,0
sips,1,0
below,0,0
jerseys,79,0
try,0,0
Dog,151,0
retrive,0,0
fallen,5,0
dirt,732,0
hole,98,0
cannon,0,0
fountain,237,0
decorative,13,0
starts,0,0
India,0,0
pretending,0,0
be,0,0
stroller,211,0
bark,3,0
barefoot,3,0
goggles,295,0
bathing,117,0
pedal,7,0
hiker,98,0
surrounded,0,0
hoodie,178,0
mask,133,0
lays,3,0
hard,15,0
chinese,4,0
costumes,272,0
transportation,15,0
strolling,0,0
business,12,0
district,0,0
underwear,43,0
runner,97,0
competes,0,0
no,33,0
brushing,0,0
navigate,0,0
still,3,0
random,3,0
town,28,0
recently,0,0
plowed,0,0
practicing,2,0
boxing,0,0
olive,1,0
showing,0,0
underneath,2,0
leafless,0,0
nurse,36,0
treating,0,0
cleft,1,0
palate,0,0
German,2,0
Shepherd,29,0
stumps,2,0
stretching,1,0
airport,15,0
appears,0,0
sailing,1,0
giant,14,0
hills,35,0
forested,3,0
hillside,40,0
sunshade,0,0
tunnel,21,0
crew,54,0
cameras,44,0
surround,0,0
van,97,0
bikini,182,0
regularly,0,0
Tired,0,0
rests,0,0
backpack,496,0
friends,270,0
stroll,1,0
indoor,4,0
eats,0,0
noodles,12,0
utensils,5,0
pair,12,0
dives,1,0
exhibit,1,0
aquarium,10,0
dolphin,15,0
swims,0,0
frames,7,0
faces,133,0
mural,106,0
hours,0,0
handstand,1,0
tracks,124,0
apron,298,0
snowboarders,13,0
fly,6,0
crest,0,0
hill,267,0
at&t,0,0
headphone,3,0
beagle,18,0
waves,168,0
sell,0,0
rider,215,0
outfit,579,0
catches,0,0
desk,247,0
sort,25,0
celebration,1,0
maybe,1,0
wedding,43,0
spots,20,0
midair,23,0
Skateboarder,35,0
short,24,0
flight,8,0
warehouse,8,0
clown,86,0
rubbed,0,0
Aikido,0,0
student,39,0
striking,0,0
attack,0,0
demonstration,0,0
patiently,0,0
mat,56,0
much,2,0
needed,0,0
rest,10,0
swing,104,0
convenience,1,0
tights,48,0
motorcyclist,85,0
pit,10,0
pads,25,0
skates,31,0
photographer,91,0
machines,29,0
quartet,1,0
sundress,28,0
slides,1,0
away,0,0
s,3,0
new,8,0
bouquet,33,0
angel,8,0
visiting,0,0
Disney,0,0
character,4,0
Students,49,0
uniforms,461,0
groups,22,0
Colorfully,0,0
jockeys,29,0
martial,18,0
arts,12,0
fight,4,0
suspended,1,0
Here,0,0
beanie,54,0
terrier,23,0
Santa,35,0
Claus,13,0
strung,0,0
Christmas,8,0
lights,153,0
attempt,0,0
knock,0,0
Africans,11,0
ages,3,0
hearts,6,0
Food,9,0
Service,0,0
Worker,17,0
Counter,0,0
cameraman,25,0
sucking,0,0
thumb,7,0
Women,327,0
perform,0,0
cheer,2,0
Beijing,1,0
2008,1,0
Olympics,0,0
decorated,3,0
supervision,0,0
juice,31,0
(,0,0
),0,0
colors,44,0
shoveling,0,0
backdrop,6,0
desert,74,0
tiny,4,0
Pale,0,0
blurred,1,0
rural,3,0
scene,8,0
Black,44,0
downtown,15,0
filter,0,0
sewing,15,0
refer,0,0
chart,0,0
roadwork,1,0
wrinkley,0,0
parked,5,0
space,11,0
handed,5,0
hardwood,2,0
cobblestone,9,0
hunched,0,0
hikes,2,0
snowy,207,0
gentleman,346,0
sized,0,0
woodworking,3,0
period,0,0
sleeved,13,0
taller,0,0
pullover,8,0
Dark,0,0
mitt,16,0
cook,45,0
guard,36,0
monument,29,0
tourists,61,0
scaffold,21,0
london,0,0
tourist,21,0
Chefs,8,0
products,17,0
curly,15,0
menu,26,0
decide,0,0
what,3,0
wants,0,0
buy,2,0
rink,9,0
swinging,1,0
racket,4,0
sings,0,0
bongo,0,0
makes,0,0
wooded,63,0
props,1,0
before,0,0
descending,0,0
pajamas,113,0
sister,18,0
opens,0,0
present,0,0
closely,0,0
carnival,4,0
gun,3,0
Six,1,0
meeting,0,0
venture,0,0
bushes,80,0
contraption,0,0
cut,5,0
frozen,4,0
surfing,3,0
bearded,6,0
flannel,12,0
fixed,0,0
cellphones,29,0
Elmo,5,0
sprinklers,11,0
event,2,0
stirring,0,0
rash,0,0
go,51,0
surfboard,144,0
lily,1,0
flowing,0,0
robe,124,0
mohawk,22,0
strips,0,0
close,1,0
pursuit,1,0
bed,306,0
hopes,0,0
smokes,1,0
instruction,0,0
cute,5,0
heavy,33,0
bags,420,0
piano,40,0
aiming,0,0
arrow,11,0
target,2,0
cleaning,12,0
launch,0,0
lane,24,0
knee,37,0
length,1,0
vines,4,0
cover,4,0
windows,134,0
bites,0,0
huge,20,0
poodles,17,0
between,0,0
houses,57,0
paddles,11,0
towel,91,0
shaving,6,0
T,1,0
teammates,19,0
parents,42,0
scaling,0,0
native,7,0
adults,378,0
Bride,13,0
photographed,0,0
exits,0,0
glamorous,0,0
Chrysler,0,0
Japanese,1,0
stocking,0,0
suits,270,0
bodies,5,0
normal,0,0
In,0,0
palm,11,0
figures,20,0
bicycles,228,0
wears,5,0
rollerskates,49,0
device,35,0
number,204,0
seven,4,0
bent,1,0
sticking,0,0
main,4,0
facing,0,0
but,2,0
seal,0,0
cup,200,0
bath,29,0
beyond,0,0
listening,0,0
iPod,1,0
iPhone,1,0
sautes,0,0
For,0,0
belts,12,0
raised,0,0
casually,0,0
me,10,0
puppy,107,0
sheets,15,0
packed,2,0
Miami,3,0
Hurricanes,0,0
possession,0,0
High,0,0
scooping,0,0
fumble,0,0
pulp,1,0
musician,80,0
snowman,24,0
made,0,0
surf,63,0
relaxing,1,0
this,37,0
Caucasian,3,0
kids,849,0
pier,120,0
hooded,26,0
shaking,0,0
himself,0,0
dry,14,0
shirtless,8,0
newspaper,177,0
page,3,0
pauses,0,0
steel,21,0
corrugated,0,0
chalk,29,0
portrait,14,0
stream,60,0
comforts,0,0
fellow,9,0
teammate,6,0
Photographers,8,0
hurdles,22,0
cheered,0,0
laced,0,0
French,3,0
flags,279,0
pedals,2,0
riders,48,0
interlaced,0,0
Arc,0,0
de,1,0
Triomphe,0,0
bubbles,167,0
where,0,0
place,25,0
sneakers,99,0
tote,6,0
shaggy,0,0
factory,10,0
product,7,0
conveyor,3,0
overall,0,0
sprays,1,0
pressure,1,0
magazines,31,0
putting,0,0
instrument,45,0
contents,2,0
microscope,3,0
displayed,1,0
sleeve,29,0
slalom,0,0
course,6,0
tricks,0,0
huddles,0,0
pulls,0,0
ploy,0,0
climb,5,0
tower,49,0
raising,0,0
lowering,0,0
polish,2,0
poster,61,0
harried,0,0
handles,10,0
different,73,0
gown,61,0
mixing,0,0
odd,4,0
drawing,5,0
guitarist,48,0
drummer,48,0
live,4,0
inflatable,13,0
home,52,0
Boy,257,0
shoeshine,0,0
referee,40,0
gathers,0,0
cracks,0,0
bathrobe,12,0
threshold,0,0
Forrest,0,0
Gump,0,0
box,232,0
chocolates,0,0
worn,4,0
suitcase,31,0
aboard,0,0
waters,76,0
Southeast,0,0
country,12,0
motocross,27,0
competitively,0,0
cage,36,0
engine,13,0
gas,12,0
croquet,2,0
cross,8,0
wheeled,14,0
Skiers,9,0
progress,1,0
leaf,38,0
blower,0,0
khaki,7,0
rocky,157,0
boaters,2,0
village,5,0
fish,236,0
collection,1,0
feast,0,0
festival,0,0
will,0,0
these,10,0
approaching,0,0
raises,0,0
leap,2,0
faith,0,0
grab,0,0
wading,0,0
trumpet,13,0
balances,0,0
practice,2,0
notes,18,0
coach,30,0
sticks,93,0
good,7,0
time,8,0
attention,4,0
floating,15,0
atop,0,0
flotation,1,0
sculpture,84,0
Pall,0,0
bearers,1,0
catholic,0,0
funeral,0,0
Many,30,0
opening,2,0
conversation,0,0
topless,1,0
tattoos,117,0
dock,189,0
rescue,2,0
actions,0,0
bending,1,0
pick,6,0
encouraging,0,0
warm,1,0
bite,8,0
cream,158,0
cone,46,0
Concert,0,0
goers,6,0
comedian,0,0
act,4,0
shallow,5,0
purse,206,0
curb,34,0
african,6,0
traditional,4,0
clothing,832,0
Tan,1,0
attached,0,0
eyebrows,8,0
nose,144,0
moustache,5,0
cigars,2,0
museum,7,0
carrots,7,0
videotaped,0,0
Sysco,0,0
vest,641,0
bottle,249,0
brother,37,0
swords,16,0
operating,0,0
crane,55,0
bank,2,0
Jenga,13,0
snowbank,0,0
cube,0,0
entrance,46,0
marble,11,0
feet,100,0
wear,66,0
moniter,0,0
vigorously,0,0
not,3,0
song,0,0
poorly,0,0
bug,2,0
cups,52,0
observes,0,0
mostly,11,0
selects,0,0
purchase,1,0
adjusting,0,0
wrapping,4,0
bandage,3,0
puppies,62,0
tables,243,0
flip,2,0
leaped,0,0
horseback,47,0
cattle,25,0
dressing,2,0
tongue,122,0
cafeteria,2,0
rollerskating,0,0
amid,0,0
ladies,333,0
choreography,0,0
seats,44,0
garbage,43,0
collector,0,0
porch,60,0
Subway,2,0
unicycle,9,0
sorting,0,0
barbie,1,0
doll,42,0
parts,6,0
Janitor,1,0
dolly,2,0
janitor,8,0
tools,68,0
motorized,4,0
sweeps,0,0
pen,33,0
tripod,29,0
paddling,3,0
surveying,0,0
dump,1,0
walls,120,0
wagon,91,0
African,8,0
selection,0,0
bullhorn,1,0
signs,210,0
referencing,0,0
3,9,0
print,13,0
blouse,153,0
muscle,0,0
decorating,0,0
ornaments,4,0
early,1,0
hip,3,0
wetsuit,145,0
medium,4,0
tow,6,0
younger,9,0
deep,3,0
protective,18,0
descend,0,0
mound,28,0
wrist,7,0
flashlight,4,0
row,5,0
similar,4,0
objects,34,0
